top	fraction	id
1	1	phyloP
2	1	phyloP
3	1	phyloP
4	1	phyloP
5	0.8	phyloP
6	0.666666666666667	phyloP
7	0.571428571428571	phyloP
8	0.625	phyloP
9	0.666666666666667	phyloP
10	0.6	phyloP
11	0.636363636363636	phyloP
12	0.583333333333333	phyloP
13	0.615384615384615	phyloP
14	0.642857142857143	phyloP
15	0.6	phyloP
16	0.5625	phyloP
17	0.529411764705882	phyloP
18	0.5	phyloP
19	0.473684210526316	phyloP
20	0.45	phyloP
21	0.428571428571429	phyloP
22	0.409090909090909	phyloP
23	0.391304347826087	phyloP
24	0.375	phyloP
25	0.36	phyloP
26	0.346153846153846	phyloP
27	0.333333333333333	phyloP
28	0.321428571428571	phyloP
29	0.310344827586207	phyloP
30	0.3	phyloP
31	0.32258064516129	phyloP
32	0.3125	phyloP
33	0.303030303030303	phyloP
34	0.323529411764706	phyloP
35	0.342857142857143	phyloP
36	0.333333333333333	phyloP
37	0.324324324324324	phyloP
38	0.315789473684211	phyloP
39	0.307692307692308	phyloP
40	0.3	phyloP
41	0.292682926829268	phyloP
42	0.285714285714286	phyloP
43	0.302325581395349	phyloP
44	0.295454545454545	phyloP
45	0.288888888888889	phyloP
46	0.282608695652174	phyloP
47	0.297872340425532	phyloP
48	0.291666666666667	phyloP
49	0.285714285714286	phyloP
50	0.28	phyloP
51	0.274509803921569	phyloP
52	0.269230769230769	phyloP
53	0.283018867924528	phyloP
54	0.277777777777778	phyloP
55	0.272727272727273	phyloP
56	0.267857142857143	phyloP
57	0.263157894736842	phyloP
58	0.258620689655172	phyloP
59	0.254237288135593	phyloP
60	0.25	phyloP
61	0.245901639344262	phyloP
62	0.241935483870968	phyloP
63	0.238095238095238	phyloP
64	0.234375	phyloP
65	0.230769230769231	phyloP
66	0.227272727272727	phyloP
67	0.223880597014925	phyloP
68	0.220588235294118	phyloP
69	0.217391304347826	phyloP
70	0.214285714285714	phyloP
71	0.211267605633803	phyloP
72	0.208333333333333	phyloP
73	0.205479452054795	phyloP
74	0.202702702702703	phyloP
75	0.2	phyloP
76	0.197368421052632	phyloP
77	0.194805194805195	phyloP
78	0.192307692307692	phyloP
79	0.189873417721519	phyloP
80	0.1875	phyloP
81	0.197530864197531	phyloP
82	0.195121951219512	phyloP
83	0.192771084337349	phyloP
84	0.19047619047619	phyloP
85	0.188235294117647	phyloP
86	0.186046511627907	phyloP
87	0.183908045977011	phyloP
88	0.181818181818182	phyloP
89	0.179775280898876	phyloP
90	0.177777777777778	phyloP
91	0.186813186813187	phyloP
92	0.184782608695652	phyloP
93	0.182795698924731	phyloP
94	0.180851063829787	phyloP
95	0.178947368421053	phyloP
96	0.177083333333333	phyloP
97	0.175257731958763	phyloP
98	0.173469387755102	phyloP
99	0.171717171717172	phyloP
100	0.17	phyloP
1	1	logP
2	1	logP
3	0.666666666666667	logP
4	0.75	logP
5	0.6	logP
6	0.666666666666667	logP
7	0.571428571428571	logP
8	0.5	logP
9	0.555555555555556	logP
10	0.5	logP
11	0.454545454545455	logP
12	0.416666666666667	logP
13	0.461538461538462	logP
14	0.5	logP
15	0.466666666666667	logP
16	0.4375	logP
17	0.411764705882353	logP
18	0.388888888888889	logP
19	0.368421052631579	logP
20	0.4	logP
21	0.380952380952381	logP
22	0.363636363636364	logP
23	0.347826086956522	logP
24	0.333333333333333	logP
25	0.32	logP
26	0.307692307692308	logP
27	0.296296296296296	logP
28	0.285714285714286	logP
29	0.275862068965517	logP
30	0.266666666666667	logP
31	0.258064516129032	logP
32	0.28125	logP
33	0.272727272727273	logP
34	0.264705882352941	logP
35	0.257142857142857	logP
36	0.25	logP
37	0.27027027027027	logP
38	0.263157894736842	logP
39	0.256410256410256	logP
40	0.25	logP
41	0.24390243902439	logP
42	0.238095238095238	logP
43	0.232558139534884	logP
44	0.25	logP
45	0.244444444444444	logP
46	0.239130434782609	logP
47	0.234042553191489	logP
48	0.229166666666667	logP
49	0.224489795918367	logP
50	0.22	logP
51	0.215686274509804	logP
52	0.211538461538462	logP
53	0.226415094339623	logP
54	0.222222222222222	logP
55	0.236363636363636	logP
56	0.232142857142857	logP
57	0.228070175438596	logP
58	0.224137931034483	logP
59	0.23728813559322	logP
60	0.233333333333333	logP
61	0.229508196721311	logP
62	0.225806451612903	logP
63	0.222222222222222	logP
64	0.21875	logP
65	0.215384615384615	logP
66	0.212121212121212	logP
67	0.208955223880597	logP
68	0.205882352941176	logP
69	0.202898550724638	logP
70	0.2	logP
71	0.197183098591549	logP
72	0.194444444444444	logP
73	0.191780821917808	logP
74	0.189189189189189	logP
75	0.186666666666667	logP
76	0.184210526315789	logP
77	0.181818181818182	logP
78	0.179487179487179	logP
79	0.177215189873418	logP
80	0.175	logP
81	0.172839506172839	logP
82	0.182926829268293	logP
83	0.180722891566265	logP
84	0.178571428571429	logP
85	0.176470588235294	logP
86	0.174418604651163	logP
87	0.183908045977011	logP
88	0.181818181818182	logP
89	0.179775280898876	logP
90	0.177777777777778	logP
91	0.175824175824176	logP
92	0.173913043478261	logP
93	0.172043010752688	logP
94	0.180851063829787	logP
95	0.178947368421053	logP
96	0.177083333333333	logP
97	0.175257731958763	logP
98	0.183673469387755	logP
99	0.191919191919192	logP
100	0.19	logP
1	1	nMut
2	1	nMut
3	1	nMut
4	1	nMut
5	0.8	nMut
6	0.666666666666667	nMut
7	0.571428571428571	nMut
8	0.5	nMut
9	0.555555555555556	nMut
10	0.6	nMut
11	0.545454545454545	nMut
12	0.5	nMut
13	0.538461538461539	nMut
14	0.5	nMut
15	0.466666666666667	nMut
16	0.5	nMut
17	0.470588235294118	nMut
18	0.5	nMut
19	0.473684210526316	nMut
20	0.45	nMut
21	0.428571428571429	nMut
22	0.409090909090909	nMut
23	0.391304347826087	nMut
24	0.375	nMut
25	0.36	nMut
26	0.346153846153846	nMut
27	0.333333333333333	nMut
28	0.321428571428571	nMut
29	0.310344827586207	nMut
30	0.3	nMut
31	0.290322580645161	nMut
32	0.28125	nMut
33	0.272727272727273	nMut
34	0.264705882352941	nMut
35	0.257142857142857	nMut
36	0.277777777777778	nMut
37	0.297297297297297	nMut
38	0.289473684210526	nMut
39	0.282051282051282	nMut
40	0.275	nMut
41	0.268292682926829	nMut
42	0.261904761904762	nMut
43	0.255813953488372	nMut
44	0.272727272727273	nMut
45	0.266666666666667	nMut
46	0.260869565217391	nMut
47	0.276595744680851	nMut
48	0.270833333333333	nMut
49	0.26530612244898	nMut
50	0.26	nMut
51	0.274509803921569	nMut
52	0.269230769230769	nMut
53	0.264150943396226	nMut
54	0.259259259259259	nMut
55	0.254545454545455	nMut
56	0.25	nMut
57	0.245614035087719	nMut
58	0.241379310344828	nMut
59	0.23728813559322	nMut
60	0.233333333333333	nMut
61	0.229508196721311	nMut
62	0.225806451612903	nMut
63	0.222222222222222	nMut
64	0.21875	nMut
65	0.215384615384615	nMut
66	0.212121212121212	nMut
67	0.208955223880597	nMut
68	0.205882352941176	nMut
69	0.202898550724638	nMut
70	0.2	nMut
71	0.197183098591549	nMut
72	0.194444444444444	nMut
73	0.191780821917808	nMut
74	0.189189189189189	nMut
75	0.186666666666667	nMut
76	0.197368421052632	nMut
77	0.194805194805195	nMut
78	0.192307692307692	nMut
79	0.189873417721519	nMut
80	0.1875	nMut
81	0.185185185185185	nMut
82	0.182926829268293	nMut
83	0.180722891566265	nMut
84	0.178571428571429	nMut
85	0.176470588235294	nMut
86	0.174418604651163	nMut
87	0.172413793103448	nMut
88	0.170454545454545	nMut
89	0.179775280898876	nMut
90	0.177777777777778	nMut
91	0.175824175824176	nMut
92	0.173913043478261	nMut
93	0.172043010752688	nMut
94	0.170212765957447	nMut
95	0.168421052631579	nMut
96	0.166666666666667	nMut
97	0.164948453608247	nMut
98	0.163265306122449	nMut
99	0.161616161616162	nMut
100	0.16	nMut
